"Subject","ImageFile","Score","KeyPress","CorrKey","TargetWord"
1,"pict_lang_test/bild4.png",1,"j","j","comb"
1,"pict_lang_test/bild10.png",1,"q","q","lamp"
1,"pict_lang_test/bild6.png",1,"d","d","bowling ball"
1,"pict_lang_test/bild14.png",1,"4","4","violin"
1,"pict_lang_test/bild30.png",1,"a","a","apple"
1,"pict_lang_test/bild23.png",1,"s","s","paint can"
1,"pict_lang_test/bild15.png",1,"y","y","soda can"
1,"pict_lang_test/bild26.png",1,"l","l","drum"
1,"pict_lang_test/bild25.png",1,"r","r","orange"
1,"pict_lang_test/bild17.png",1,"x","x","soccer ball"
1,"pict_lang_test/bild3.png",1,"p","p","hourglass"
1,"pict_lang_test/bild13.png",1,"3","3","TV-screen"
1,"pict_lang_test/bild20.png",1,"i","i","coconut"
1,"pict_lang_test/bild22.png",1,"t","t","paint brush"
1,"pict_lang_test/bild16.png",1,"2","2","trumpet"
1,"pict_lang_test/bild5.png",1,"g","g","clarinet"
1,"pict_lang_test/bild9.png",1,"k","k","cucumber slice"
1,"pict_lang_test/bild29.png",1,"b","b","bamboo"
1,"pict_lang_test/bild21.png",1,"n","n","flute"
1,"pict_lang_test/bild24.png",1,"m","m","flashlight"
1,"pict_lang_test/bild8.png",1,"h","h","clock"
1,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
1,"pict_lang_test/bild11.png",1,"w","w","pizza pie"
1,"pict_lang_test/bild7.png",1,"e","e","button"
1,"pict_lang_test/bild27.png",1,"f","f","cake"
1,"pict_lang_test/bild28.png",1,"c","c","banana"
1,"pict_lang_test/bild19.png",0,"t","o","hairspray"
1,"pict_lang_test/bild18.png",1,"u","u","pear"
1,"pict_lang_test/bild2.png",1,"v","v","piano"
1,"pict_lang_test/bild12.png",1,"1","1","toast"
2,"pict_lang_test/bild20.png",1,"i","i","coconut"
2,"pict_lang_test/bild10.png",1,"q","q","lamp"
2,"pict_lang_test/bild21.png",1,"n","n","flute"
2,"pict_lang_test/bild24.png",1,"m","m","flashlight"
2,"pict_lang_test/bild18.png",1,"u","u","pear"
2,"pict_lang_test/bild13.png",1,"3","3","TV-screen"
2,"pict_lang_test/bild16.png",1,"2","2","trumpet"
2,"pict_lang_test/bild2.png",1,"v","v","piano"
2,"pict_lang_test/bild7.png",1,"e","e","button"
2,"pict_lang_test/bild25.png",0,"a","r","orange"
2,"pict_lang_test/bild17.png",1,"x","x","soccer ball"
2,"pict_lang_test/bild9.png",1,"k","k","cucumber slice"
2,"pict_lang_test/bild27.png",1,"f","f","cake"
2,"pict_lang_test/bild11.png",1,"w","w","pizza pie"
2,"pict_lang_test/bild6.png",1,"d","d","bowling ball"
2,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
2,"pict_lang_test/bild8.png",1,"h","h","clock"
2,"pict_lang_test/bild19.png",0,"t","o","hairspray"
2,"pict_lang_test/bild28.png",1,"c","c","banana"
2,"pict_lang_test/bild26.png",1,"l","l","drum"
2,"pict_lang_test/bild30.png",1,"a","a","apple"
2,"pict_lang_test/bild14.png",1,"4","4","violin"
2,"pict_lang_test/bild22.png",0,"s","t","paint brush"
2,"pict_lang_test/bild3.png",1,"p","p","hourglass"
2,"pict_lang_test/bild23.png",1,"s","s","paint can"
2,"pict_lang_test/bild5.png",1,"g","g","clarinet"
2,"pict_lang_test/bild29.png",1,"b","b","bamboo"
2,"pict_lang_test/bild4.png",1,"j","j","comb"
2,"pict_lang_test/bild12.png",1,"1","1","toast"
2,"pict_lang_test/bild15.png",1,"y","y","soda can"
3,"pict_lang_test/bild6.png",1,"d","d","bowling ball"
3,"pict_lang_test/bild11.png",1,"w","w","pizza pie"
3,"pict_lang_test/bild12.png",1,"1","1","toast"
3,"pict_lang_test/bild21.png",1,"n","n","flute"
3,"pict_lang_test/bild8.png",1,"h","h","clock"
3,"pict_lang_test/bild3.png",1,"p","p","hourglass"
3,"pict_lang_test/bild16.png",1,"2","2","trumpet"
3,"pict_lang_test/bild25.png",1,"r","r","orange"
3,"pict_lang_test/bild22.png",1,"t","t","paint brush"
3,"pict_lang_test/bild18.png",1,"u","u","pear"
3,"pict_lang_test/bild17.png",1,"x","x","soccer ball"
3,"pict_lang_test/bild20.png",1,"i","i","coconut"
3,"pict_lang_test/bild2.png",1,"v","v","piano"
3,"pict_lang_test/bild13.png",1,"3","3","TV-screen"
3,"pict_lang_test/bild26.png",1,"l","l","drum"
3,"pict_lang_test/bild23.png",1,"s","s","paint can"
3,"pict_lang_test/bild27.png",1,"f","f","cake"
3,"pict_lang_test/bild15.png",1,"y","y","soda can"
3,"pict_lang_test/bild5.png",1,"g","g","clarinet"
3,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
3,"pict_lang_test/bild7.png",1,"e","e","button"
3,"pict_lang_test/bild24.png",1,"m","m","flashlight"
3,"pict_lang_test/bild10.png",1,"q","q","lamp"
3,"pict_lang_test/bild9.png",1,"k","k","cucumber slice"
3,"pict_lang_test/bild4.png",1,"j","j","comb"
3,"pict_lang_test/bild14.png",1,"4","4","violin"
3,"pict_lang_test/bild29.png",1,"b","b","bamboo"
3,"pict_lang_test/bild28.png",1,"c","c","banana"
3,"pict_lang_test/bild19.png",1,"o","o","hairspray"
3,"pict_lang_test/bild30.png",1,"a","a","apple"
4,"pict_lang_test/bild8.png",1,"h","h","clock"
4,"pict_lang_test/bild6.png",1,"d","d","bowling ball"
4,"pict_lang_test/bild13.png",1,"3","3","TV-screen"
4,"pict_lang_test/bild29.png",1,"b","b","bamboo"
4,"pict_lang_test/bild4.png",1,"j","j","comb"
4,"pict_lang_test/bild19.png",1,"o","o","hairspray"
4,"pict_lang_test/bild20.png",1,"i","i","coconut"
4,"pict_lang_test/bild5.png",1,"g","g","clarinet"
4,"pict_lang_test/bild11.png",1,"w","w","pizza pie"
4,"pict_lang_test/bild22.png",1,"t","t","paint brush"
4,"pict_lang_test/bild21.png",1,"n","n","flute"
4,"pict_lang_test/bild23.png",1,"s","s","paint can"
4,"pict_lang_test/bild15.png",1,"y","y","soda can"
4,"pict_lang_test/bild10.png",1,"q","q","lamp"
4,"pict_lang_test/bild14.png",1,"4","4","violin"
4,"pict_lang_test/bild16.png",1,"2","2","trumpet"
4,"pict_lang_test/bild28.png",1,"c","c","banana"
4,"pict_lang_test/bild2.png",1,"v","v","piano"
4,"pict_lang_test/bild27.png",1,"f","f","cake"
4,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
4,"pict_lang_test/bild26.png",1,"l","l","drum"
4,"pict_lang_test/bild7.png",1,"e","e","button"
4,"pict_lang_test/bild17.png",1,"x","x","soccer ball"
4,"pict_lang_test/bild25.png",1,"r","r","orange"
4,"pict_lang_test/bild12.png",1,"1","1","toast"
4,"pict_lang_test/bild3.png",1,"p","p","hourglass"
4,"pict_lang_test/bild18.png",1,"u","u","pear"
4,"pict_lang_test/bild30.png",1,"a","a","apple"
4,"pict_lang_test/bild9.png",1,"k","k","cucumber slice"
4,"pict_lang_test/bild24.png",1,"m","m","flashlight"
5,"pict_lang_test/bild18.png",1,"u","u","pear"
5,"pict_lang_test/bild19.png",0,"s","o","hairspray"
5,"pict_lang_test/bild2.png",1,"v","v","piano"
5,"pict_lang_test/bild22.png",1,"t","t","paint brush"
5,"pict_lang_test/bild9.png",1,"k","k","cucumber slice"
5,"pict_lang_test/bild27.png",1,"f","f","cake"
5,"pict_lang_test/bild8.png",1,"h","h","clock"
5,"pict_lang_test/bild11.png",1,"w","w","pizza pie"
5,"pict_lang_test/bild13.png",1,"3","3","TV-screen"
5,"pict_lang_test/bild20.png",1,"i","i","coconut"
5,"pict_lang_test/bild28.png",1,"c","c","banana"
5,"pict_lang_test/bild14.png",1,"4","4","violin"
5,"pict_lang_test/bild15.png",1,"y","y","soda can"
5,"pict_lang_test/bild12.png",1,"1","1","toast"
5,"pict_lang_test/bild29.png",1,"b","b","bamboo"
5,"pict_lang_test/bild26.png",1,"l","l","drum"
5,"pict_lang_test/bild10.png",1,"q","q","lamp"
5,"pict_lang_test/bild30.png",1,"a","a","apple"
5,"pict_lang_test/bild6.png",1,"d","d","bowling ball"
5,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
5,"pict_lang_test/bild3.png",1,"p","p","hourglass"
5,"pict_lang_test/bild23.png",1,"s","s","paint can"
5,"pict_lang_test/bild25.png",1,"r","r","orange"
5,"pict_lang_test/bild7.png",1,"e","e","button"
5,"pict_lang_test/bild17.png",1,"x","x","soccer ball"
5,"pict_lang_test/bild24.png",1,"m","m","flashlight"
5,"pict_lang_test/bild5.png",1,"g","g","clarinet"
5,"pict_lang_test/bild16.png",1,"2","2","trumpet"
5,"pict_lang_test/bild4.png",1,"j","j","comb"
5,"pict_lang_test/bild21.png",1,"n","n","flute"
6,"pict_lang_test/bild25.png",1,"r","r","orange"
6,"pict_lang_test/bild1.png",1,"z","z","tennis racket"
6,"pict_lang_test/bild23.png",1,"s","s","paint can"
6,"pict_lang_test/bild22.png",1,"t","t","paint brush"
