subject;item;score;key press
1;pict_lang_test/bild4.png;1;j
1;pict_lang_test/bild10.png;1;q
1;pict_lang_test/bild6.png;1;d
1;pict_lang_test/bild14.png;1;4
1;pict_lang_test/bild30.png;1;a
1;pict_lang_test/bild23.png;1;s
1;pict_lang_test/bild15.png;1;y
1;pict_lang_test/bild26.png;1;l
1;pict_lang_test/bild25.png;1;r
1;pict_lang_test/bild17.png;1;x
1;pict_lang_test/bild3.png;1;p
1;pict_lang_test/bild13.png;1;3
1;pict_lang_test/bild20.png;1;i
1;pict_lang_test/bild22.png;1;t
1;pict_lang_test/bild16.png;1;2
1;pict_lang_test/bild5.png;1;g
1;pict_lang_test/bild9.png;1;k
1;pict_lang_test/bild29.png;1;b
1;pict_lang_test/bild21.png;1;n
1;pict_lang_test/bild24.png;1;m
1;pict_lang_test/bild8.png;1;h
1;pict_lang_test/bild1.png;1;z
1;pict_lang_test/bild11.png;1;w
1;pict_lang_test/bild7.png;1;e
1;pict_lang_test/bild27.png;1;f
1;pict_lang_test/bild28.png;1;c
1;pict_lang_test/bild19.png;0;t
1;pict_lang_test/bild18.png;1;u
1;pict_lang_test/bild2.png;1;v
1;pict_lang_test/bild12.png;1;1
2;pict_lang_test/bild20.png;1;i
2;pict_lang_test/bild10.png;1;q
2;pict_lang_test/bild21.png;1;n
2;pict_lang_test/bild24.png;1;m
2;pict_lang_test/bild18.png;1;u
2;pict_lang_test/bild13.png;1;3
2;pict_lang_test/bild16.png;1;2
2;pict_lang_test/bild2.png;1;v
2;pict_lang_test/bild7.png;1;e
2;pict_lang_test/bild25.png;0;a
2;pict_lang_test/bild17.png;1;x
2;pict_lang_test/bild9.png;1;k
2;pict_lang_test/bild27.png;1;f
2;pict_lang_test/bild11.png;1;w
2;pict_lang_test/bild6.png;1;d
2;pict_lang_test/bild1.png;1;z
2;pict_lang_test/bild8.png;1;h
2;pict_lang_test/bild19.png;0;t
2;pict_lang_test/bild28.png;1;c
2;pict_lang_test/bild26.png;1;l
2;pict_lang_test/bild30.png;1;a
2;pict_lang_test/bild14.png;1;4
2;pict_lang_test/bild22.png;0;s
2;pict_lang_test/bild3.png;1;p
2;pict_lang_test/bild23.png;1;s
2;pict_lang_test/bild5.png;1;g
2;pict_lang_test/bild29.png;1;b
2;pict_lang_test/bild4.png;1;j
2;pict_lang_test/bild12.png;1;1
2;pict_lang_test/bild15.png;1;y
3;pict_lang_test/bild6.png;1;d
3;pict_lang_test/bild11.png;1;w
3;pict_lang_test/bild12.png;1;1
3;pict_lang_test/bild21.png;1;n
