item;corr key;word
pict_lang_test/bild1.png;z;tennis racket
pict_lang_test/bild2.png;v;piano
pict_lang_test/bild3.png;p;hourglass
pict_lang_test/bild4.png;j;comb
pict_lang_test/bild5.png;g;clarinet
pict_lang_test/bild6.png;d;bowling ball
pict_lang_test/bild7.png;e;button
pict_lang_test/bild8.png;h;clock
pict_lang_test/bild9.png;k;cucumber slice
pict_lang_test/bild10.png;q;lamp
pict_lang_test/bild11.png;w;pizza pie
pict_lang_test/bild12.png;1;toast
pict_lang_test/bild13.png;3;TV-screen
pict_lang_test/bild14.png;4;violin
pict_lang_test/bild15.png;y;soda can
pict_lang_test/bild16.png;2;trumpet
pict_lang_test/bild17.png;x;soccer ball
pict_lang_test/bild18.png;u;pear
pict_lang_test/bild19.png;o;hairspray
pict_lang_test/bild20.png;i;coconut
pict_lang_test/bild21.png;n;flute
pict_lang_test/bild22.png;t;paint brush
pict_lang_test/bild23.png;s;paint can
pict_lang_test/bild24.png;m;flashlight
pict_lang_test/bild25.png;r;orange
pict_lang_test/bild26.png;l;drum
pict_lang_test/bild27.png;f;cake
pict_lang_test/bild28.png;c;banana
pict_lang_test/bild29.png;b;bamboo
pict_lang_test/bild30.png;a;apple
